"filename", "language", "C#", "XAML", "Markdown", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_frgmh2oc_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_g0gpft5z_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_g0gpft5z_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_g0gpft5z_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_gmq50gfi_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_gmq50gfi_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_gmq50gfi_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_mhfb5vmj_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_mhfb5vmj_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_mhfb5vmj_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
